"sample","shannon","simpson","invsimpson","temperature","infection","time"
"SRR11440650",1.39482929631909,0.689445035133136,3.2200419028197,"28","Control","48"
"SRR11440651",1.38100830537214,0.663882278709212,2.97514810037303,"28","Control","48"
"SRR11440652",1.43098092411308,0.697960641146116,3.31082678692801,"28","Control","48"
"SRR11440653",1.0208912008396,0.420550347671522,1.72577547675034,"36","Control","24"
"SRR11440654",0.921359844351701,0.422907362617747,1.73282404803516,"36","Control","24"
"SRR11440655",1.09730373758221,0.465298063574787,1.87020082007851,"36","Control","24"
"SRR11440656",1.06966113445678,0.478463875066512,1.91741272021671,"36","Control","24"
"SRR11440657",1.37931217177594,0.62183900698858,2.64437638593201,"36","Control","24"
"SRR11440658",1.61023547272828,0.699322926757746,3.3258272378962,"36","Control","24"
"SRR11440659",1.14992748546258,0.529117870503207,2.12367371229111,"36","Zika","48"
"SRR11440660",1.12355930725483,0.553389175650608,2.23908590092228,"36","Control","24"
"SRR11440661",1.21184382393611,0.551941853513319,2.23185318209525,"36","Control","24"
"SRR11440662",1.16048694234265,0.526745774437325,2.11302920499241,"36","Control","24"
"SRR11440663",0.768102389190116,0.350733812043336,1.54020033469962,"36","Control","24"
"SRR11440664",0.942643765988104,0.405970987912456,1.68341946209965,"36","Control","24"
"SRR11440665",1.52641703276468,0.719103675863978,3.56003234672362,"28","Zika","48"
"SRR11440666",1.48188480982233,0.696083963472748,3.29038247348403,"28","Zika","48"
"SRR11440667",1.40531458304416,0.684295870543867,3.16752271097218,"28","Zika","48"
"SRR11440668",1.78483597866452,0.735850899132346,3.78574069234113,"36","Zika","24"
"SRR11440669",1.90018955136282,0.787952598748906,4.71592669421995,"36","Zika","24"
"SRR11440670",1.67361170677066,0.752460805156858,4.03976429120111,"36","Zika","24"
"SRR11440671",1.7062097828643,0.740636992516254,3.85559995506556,"36","Zika","24"
"SRR11440672",1.47889846998697,0.652283030658926,2.87590220832479,"36","Zika","48"
"SRR11440673",0.760111421307565,0.308450215501498,1.44602749131818,"36","Zika","24"
"SRR11440674",0.526840919984267,0.191215676205039,1.23642356878014,"36","Zika","24"
"SRR11440675",0.627907444658818,0.247206950647295,1.32838633520841,"36","Zika","24"
"SRR11440676",0.811824494408572,0.348315034074632,1.53448376483573,"36","Zika","24"
"SRR11440677",0.930372132117717,0.438805979391088,1.78191492296188,"36","Zika","24"
"SRR11440678",2.00637835277177,0.770083748036582,4.34940980230971,"20","Control","24"
"SRR11440679",1.81401769777069,0.741616022142858,3.87020901331928,"20","Control","24"
"SRR11440680",1.8399318377951,0.735149029292386,3.77570826842075,"20","Control","24"
"SRR11440681",1.87830365345745,0.742610378974015,3.88516054382412,"20","Control","24"
"SRR11440682",0.486120633790464,0.204165497951506,1.25654265733137,"36","Zika","24"
"SRR11440683",1.00230327763835,0.493078213309525,1.97269090864819,"20","Control","24"
"SRR11440684",0.832867600307234,0.422463589224035,1.73149256279171,"20","Control","24"
"SRR11440685",0.957151718989686,0.475074125831459,1.90503087999607,"20","Control","24"
"SRR11440686",1.05963497027474,0.503890640951631,2.01568461017988,"20","Control","24"
"SRR11440687",1.51494809450077,0.750717815754794,4.01151812363916,"20","Control","24"
"SRR11440688",1.04177933308582,0.541267812015545,2.17992115267457,"20","Control","24"
"SRR11440689",1.55171010240314,0.750500346992699,4.0080216062294,"20","Control","24"
"SRR11440690",1.26368638342445,0.66067450540499,2.94702289078961,"20","Control","24"
"SRR11440691",1.07493747381239,0.51416200256455,2.0582992793454,"20","Control","48"
"SRR11440692",1.17867739036755,0.541464855180637,2.18085791525085,"20","Control","48"
"SRR11440693",0.766253315838958,0.33711676753229,1.5085613136982,"36","Zika","24"
"SRR11440694",1.19100526729752,0.578788644430136,2.37410503486327,"20","Control","48"
"SRR11440695",1.20859121216112,0.547649599346721,2.21067561464699,"20","Control","48"
"SRR11440696",1.21565544905187,0.644400021677559,2.81214865286985,"20","Control","48"
"SRR11440697",1.42587300900918,0.721295315521669,3.58802724063201,"20","Control","48"
"SRR11440698",0.989806799140646,0.552338415269369,2.233830272932,"20","Control","48"
"SRR11440699",1.27414160839328,0.633394642927298,2.72772882530925,"20","Control","48"
"SRR11440700",1.1490992348111,0.532166345110416,2.13751189028078,"20","Control","48"
"SRR11440701",1.17295273061642,0.547587724480151,2.21037326816771,"20","Control","48"
"SRR11440702",1.15703529441002,0.562997541668088,2.28831664658618,"20","Control","48"
"SRR11440703",1.02103604643644,0.511171761759087,2.04570833223256,"20","Control","48"
"SRR11440704",0.61483076398565,0.280110599557637,1.38910226957851,"36","Zika","24"
"SRR11440705",2.59165946694893,0.841264622783515,6.29979288508693,"28","Control","24"
"SRR11440706",2.58897858330346,0.860343747690129,7.16043845843141,"28","Control","24"
"SRR11440707",2.74485266396969,0.88079073433896,8.38860968109146,"28","Control","24"
"SRR11440708",2.43031242839922,0.823692705516495,5.67191506698301,"28","Control","24"
"SRR11440709",2.03068035348487,0.808942433225938,5.23402457638627,"28","Control","24"
"SRR11440710",2.08042084394997,0.813948446553412,5.37485434265445,"28","Control","24"
"SRR11440711",2.01629604627296,0.81151208629421,5.30537995959196,"28","Control","24"
"SRR11440712",1.95272441887984,0.800713236261567,5.01789472236359,"28","Control","24"
"SRR11440713",2.1554249174112,0.835366099102363,6.07408312958435,"28","Zika","24"
"SRR11440714",0.972612171291218,0.466820219634791,1.8755399901231,"36","Zika","48"
"SRR11440715",1.61151989350265,0.752384980135845,4.03852722887575,"28","Zika","24"
